f1000-1-1-0,carlos morel
f1000-3-94-3,mark parsons
f1000-3-95-0,sumit deswal
f1000-3-95-1,sumit deswal
f1000-3-95-2,ross lazarus
f1000-3-95-3,james w. macdonald 
f1000-3-96-0,paloma martnez
f1000-3-96-1,roman klinger
f1000-3-97-0,michael erdek
f1000-3-97-1,frank van eijs
f1000-3-98-0,yoshikazu isomura
f1000-3-98-1,james knierim
f1000-3-98-2,andrew p. maurer
f1000-3-98-3,shuzo sakata
f1000-3-98-4,yoshikazu isomura
f1000-3-99-0,tamsin jillian greenwell
f1000-3-99-1,sanjay b. kulkarni
f1000-3-99-2,ali tourchi
f1000-4-1-0,william r. jacobs
f1000-4-1-1,william r. jacobs
f1000-4-1-2,venkataramana kandi 
f1000-4-1-3,klaus kayser 
f1000-4-10-0,talis bachmann
f1000-4-10-1,alexander latanov
f1000-4-100-0,patrick p. l. tam
f1000-4-100-1,kate g. storey
f1000-4-100-2,jacqueline deschamps
f1000-4-100-3,patrick p. l. tam
f1000-4-1002-0,rosario notaro
f1000-4-101-0,ijaz s jamall
f1000-4-101-1,bjorn ldm brcher
f1000-4-1013-0,chunxue bai
f1000-4-1013-1,michael o'connor
f1000-4-102-0,massimo micaglio
f1000-4-102-1,massimiliano carassiti
f1000-4-102-2,andrea vannucci 
f1000-4-103-0,scott zeitlin
f1000-4-103-1,stefan taubert
f1000-4-103-2,scott zeitlin
f1000-4-1030-0,konrad hinsen 
f1000-4-1030-1,nicola j. mulder 
f1000-4-1030-2,rafael najmanovich
f1000-4-1030-3,konrad hinsen 
f1000-4-1031-0,carleton sage
f1000-4-1031-1,peter ertl 
f1000-4-104-0,ayub darji
f1000-4-104-1,mattia mori
f1000-4-1049-0,ahmed abdelghani
f1000-4-1049-1,mohammed atie
f1000-4-105-0,timothy j. triche
f1000-4-105-1,david robinson
f1000-4-105-2,karthik ram
f1000-4-105-3,timothy j. triche
f1000-4-1050-0,emily meier
f1000-4-1050-1,james g. taylor vi
f1000-4-1053-0,angel matilla
f1000-4-1053-1,angel matilla
f1000-4-1053-2,robert hill
f1000-4-106-0,juan opazo
f1000-4-1062-0,tanya l applegate
f1000-4-1062-1,nicholas j. loman
f1000-4-1062-2,fabio luciani
f1000-4-107-0,robert d. levitan
f1000-4-107-1,klaus martiny
f1000-4-1070-0,zhijin wu
f1000-4-1070-1,davide risso 
f1000-4-1073-0,owen m. wolkowitz
f1000-4-1073-1,kevin s. king
f1000-4-1075-0,nicholas j. loman
f1000-4-1075-1,michael quail
f1000-4-1078-0,jes sgaard
f1000-4-1078-1,jeffrey braithwaite
f1000-4-108-0,mark william louie-johnsun
f1000-4-108-1,prem rashid 
f1000-4-1080-0,rory stark
f1000-4-1080-1,cenny taslim
f1000-4-1080-2,lihua julie zhu 
f1000-4-109-0,hugo leite-almeida
f1000-4-109-1,nicholas andrews
f1000-4-109-2,gordon munro
f1000-4-1091-0,sanja glisic
f1000-4-1091-1,sandeep chakraborty 
f1000-4-1091-2,sanja glisic
f1000-4-1092-0,tatsuya kobayashi
f1000-4-1092-1,alexander lex
f1000-4-1092-2,kenneth b. marcu
f1000-4-1097-0,ana jeron 
f1000-4-1097-1,charles carter
f1000-4-11-0,giordano rampioni
f1000-4-11-1,jean-jacques sanglier
f1000-4-110-0,robert paul davey 
f1000-4-110-1,laura privalle
f1000-4-1102-0,pablo wappner
f1000-4-1102-1,angela h. depace
f1000-4-1102-2,sofia lavista llanos
f1000-4-1103-0,anne eberhard
f1000-4-1103-1,anne eberhard
f1000-4-1103-2,giovanni franchin
f1000-4-1104-0,christian luschnig
f1000-4-1104-1,richard m. napier
f1000-4-1104-2,lars ostergaard
f1000-4-111-0,ana paula panzeri carlotti
f1000-4-111-1,jerry zimmerman
f1000-4-113-0,hans-henning epperlein
f1000-4-113-1,miles l. epstein
f1000-4-114-0,arvind d. nana
f1000-4-114-1,charles a. reitman
f1000-4-1145-0,asfar s. azmi
f1000-4-1145-1,renata cozzi
f1000-4-1145-2,renata cozzi
f1000-4-1146-0,waliul khan
f1000-4-1146-1,rebeca martin
f1000-4-1146-2,enzo ierardi
f1000-4-115-0,brett seymoure
f1000-4-115-1,theodore stankowich
f1000-4-115-2,brian langerhans
f1000-4-1157-0,david rollinson
f1000-4-1157-1,alan fenwick
f1000-4-1157-2,don mcmanus
f1000-4-1158-0,bruce stein
f1000-4-1158-1,a townsend peterson
f1000-4-1158-2,paul beier
f1000-4-116-0,joseph adubofuor
f1000-4-116-1,afifa jahan
f1000-4-1160-0,shohei koide
f1000-4-1160-1,andrew bradbury
f1000-4-1160-2,shohei koide
f1000-4-1160-3,scott b. rothbart
f1000-4-1160-4,andrew bradbury
f1000-4-1162-0,caroline dive
f1000-4-1162-1,timothy j. triche
f1000-4-1167-0,peter wilson
f1000-4-1167-1,michael shapiro
f1000-4-117-0,paul twigg
f1000-4-117-1,manuel becana
f1000-4-1177-0,leonid bystrykh
f1000-4-1177-1,hector mayani
f1000-4-1177-2,connie eaves
f1000-4-118-0,christopher southan 
f1000-4-118-1,john a. lowe iii 
f1000-4-118-2,john a. lowe iii 
f1000-4-118-3,christopher southan 
f1000-4-118-4,georgia b. mcgaughey
f1000-4-1188-0,paul grigoriev
f1000-4-1188-1,ina vitalevna vasileva
f1000-4-119-0,scott t brady
f1000-4-119-1,smita saxena
f1000-4-119-2,viswanathan krishnan
f1000-4-1197-0,guoyi gao
f1000-4-1197-1,sunil kumar singh
f1000-4-1197-2,kenichiro kikuta
f1000-4-1197-3,sunil kumar singh
f1000-4-1197-4,kenichiro kikuta
f1000-4-1200-0,nikolaus plesnila
f1000-4-1200-1,michael n. diringer
f1000-4-1200-2,stephan mayer
f1000-4-1200-3,kyle pattinson
f1000-4-1207-0,luis garcia-larrea
f1000-4-1207-1,arthur craig
f1000-4-1208-0,heidi prather
f1000-4-1208-1,olavi airaksinen
f1000-4-121-0,lior pachter
f1000-4-121-1,mick watson
f1000-4-121-2,michael eisen
f1000-4-121-3,rafael a. irizarry
f1000-4-1212-0,takashi yokoo
f1000-4-1212-1,william couser
f1000-4-1212-2,motoko yanagita
f1000-4-1215-0,thomas carey
f1000-4-1215-1,nishant agrawal
f1000-4-122-0,johanna r. mcentyre
f1000-4-1222-0,anuj kumar 
f1000-4-1222-1,paul pavlidis
f1000-4-1222-2,melchor sanchez-martinez
f1000-4-123-0,edwin seet
f1000-4-123-1,neeraj n. shah
f1000-4-123-2,gareth l. ackland
f1000-4-1234-0,marco andrello
f1000-4-1234-1,marco andrello
f1000-4-1234-2,pedro peres-neto
f1000-4-124-0,gamal serour
f1000-4-124-1,john svigos
f1000-4-1244-0,daan p. geerke
f1000-4-1244-1,xavier daura
f1000-4-125-0,malini raghavan
f1000-4-125-1,frank momburg
f1000-4-125-2,james drake 
f1000-4-1250-0,sandeep vijayan
f1000-4-1250-1,nikolaos gougoulias
f1000-4-126-0,thomas butts
f1000-4-126-1,anthony graham
f1000-4-126-2,graham scott
f1000-4-1267-0,dorothy yuan
f1000-4-1267-1,philippa m musoke
f1000-4-1267-2,dorothy yuan
f1000-4-1267-3,dorothy yuan
f1000-4-1267-4,dorothy yuan
f1000-4-127-0,christopher brewster
f1000-4-127-1,george adamides
f1000-4-1279-0,christopher c.w. hughes
f1000-4-1279-1,abraham j. al ahmad
f1000-4-1279-2,christopher c.w. hughes
f1000-4-1279-3,abraham j. al ahmad
f1000-4-128-0,ginger janow
f1000-4-128-1,anne eberhard
f1000-4-1287-0,ron blankstein
f1000-4-1287-1,xavier duval
f1000-4-1287-2,ralph corey
f1000-4-1288-0,pierre j. magistretti
f1000-4-1288-1,richard festenstein
f1000-4-1289-0,carl rosow
f1000-4-1289-1,martin luginbuhl
f1000-4-1289-2,harald ihmsen
f1000-4-1289-3,thomas schnider
f1000-4-129-0,nikos manouselis
f1000-4-129-1,ted hanss jr
f1000-4-1296-0,peter a. lio
f1000-4-1296-1,lawrence eichenfield
f1000-4-1297-0,jiahuai han
f1000-4-1297-1,peter vandenabeele
f1000-4-1297-2,martin leverkus
f1000-4-1297-3,pascal meier
f1000-4-13-0,ryan p. smith
f1000-4-13-1,wayland hsiao
f1000-4-13-2,nelson bennett 
f1000-4-130-0,hiroshi ichinose
f1000-4-130-1,ralitsa i. petrova
f1000-4-130-2,masahiko takada
f1000-4-131-0,pietro caironi
f1000-4-131-1,walter hasibeder
f1000-4-131-2,anthony gordon
f1000-4-131-3,taylor thompson
f1000-4-1310-0,nicola neretti
f1000-4-1310-1,juan m. vaquerizas
f1000-4-1310-2,ferhat ay
f1000-4-1313-0,cassian sitaru
f1000-4-1313-1,zhi liu
f1000-4-1314-0,karla saavedra-rodriguez
f1000-4-1314-1,zainulabeuddin syed
f1000-4-1314-2,beniamino caputo
f1000-4-132-0,dan r. littman
f1000-4-132-1,jagadeesh bayry
f1000-4-132-2,richard flavell
f1000-4-133-0,scott crick
f1000-4-133-1,evan facher
f1000-4-133-2,jessica silvaggi
f1000-4-133-3,evan facher
f1000-4-133-4,scott crick
f1000-4-133-5,jessica silvaggi
f1000-4-1337-0,alexander w. pastuszak
f1000-4-1337-1,james m. hotaling
f1000-4-1339-0,silke j dyer
f1000-4-1339-1,akmal el-mazny
f1000-4-1339-2,frank h de jong
f1000-4-134-0,william gunn
f1000-4-134-1,randi vita
f1000-4-1341-0,herbert hnigsmann
f1000-4-1341-1,mohamed badawy abdel-naser
f1000-4-1349-0,gregory gibson 
f1000-4-135-0,christiane hampe
f1000-4-135-1,xiao he
f1000-4-135-2,david soll
f1000-4-1353-0,aravinda de silva
f1000-4-1353-1,wei kung wang
f1000-4-1353-2,eng eong ooi
f1000-4-1356-0,howard lipton
f1000-4-1356-1,ann arvin
f1000-4-1356-2,kamel khalili
f1000-4-1359-0,jacques chelly 
f1000-4-1359-1,anne m lynn 
f1000-4-136-0,rjan stman
f1000-4-136-1,rjan stman
f1000-4-136-2,daniel macqueen
f1000-4-136-3,anne dalziel
f1000-4-136-4,daniel macqueen
f1000-4-1360-0,antonio filippini
f1000-4-1360-1,ram gopal
f1000-4-1366-0,sebastiano bonventre
f1000-4-1366-1,martin schlumberger
f1000-4-1366-2,brendan stack
f1000-4-137-0,alison pack 
f1000-4-137-1,xiao shifu
f1000-4-1373-0,paul tam
f1000-4-1373-1,atsuyuki yamataka
f1000-4-1373-2,david wesson
f1000-4-1377-0,c. titus brown 
f1000-4-1377-1,mick watson
f1000-4-1378-0,huzefa a raja
f1000-4-1378-1,belle damadora shenoy
f1000-4-1379-0,rebecca j reed-jones
f1000-4-1379-1,rodrigo vitrio
f1000-4-1379-2,rebecca j reed-jones
f1000-4-138-0,mayur bharat kurade
f1000-4-138-1,balendu shekher giri
f1000-4-1380-0,christian eggeling
f1000-4-1380-1,paul w wiseman
f1000-4-1380-2,mary l kraft
f1000-4-1389-0,michael thase
f1000-4-1389-1,allan young
f1000-4-1389-2,pierre blier
f1000-4-139-0,joanne lupton
f1000-4-139-1,patrick oneil
f1000-4-1393-0,mary a fox
f1000-4-1393-1,george m. gray
f1000-4-1393-2,jonathan m. spergel
f1000-4-1399-0,gong-li tang
f1000-4-1399-1,claudia schmidt-dannert
f1000-4-14-0,wolfgang eisenreich
f1000-4-14-1,patricia len
f1000-4-140-0,lloyd d. fricker
f1000-4-140-1,ric bonneil
f1000-4-140-2,lloyd d. fricker
f1000-4-1406-0,george kasyan
f1000-4-1406-1,karl-dietrich sievert
f1000-4-1406-2,emmanuel chartier-kastler
f1000-4-1407-0,ingrid lnnstedt
f1000-4-1407-1,jan oosting
f1000-4-1408-0,peter friedl
f1000-4-1408-1,edna cukierman
f1000-4-141-0,robin l. anderson
f1000-4-141-1,danny welch
f1000-4-141-2,suzanne a eccles
f1000-4-141-3,ann chambers
f1000-4-141-4,patricia steeg
f1000-4-1410-0,john sakles
f1000-4-1410-1,harald groeben
f1000-4-142-0,jose suazo
f1000-4-142-1,jose suazo
f1000-4-142-2,jingtan su
f1000-4-1422-0,donald cooper
f1000-4-1422-1,donald cooper
f1000-4-1422-2,john mcpartland
f1000-4-1423-0,rakesh garg
f1000-4-1423-1,james j. fehr
f1000-4-1424-0,meena subramanyam
f1000-4-1424-1,stephen waxman
f1000-4-1426-0,maria zatelli
f1000-4-1426-1,maria fleseriu 
f1000-4-1427-0,michael stone
f1000-4-1427-1,tracy bryan
f1000-4-1427-2,raymund wellinger
f1000-4-1429-0,trevor w. siggers
f1000-4-1429-1,jan grau 
f1000-4-1429-2,jan grau 
f1000-4-1429-3,trevor w. siggers
f1000-4-143-0,lauren sergio
f1000-4-143-1,liana brown
f1000-4-143-2,lauren sergio
f1000-4-1431-0,donald kohn
f1000-4-1431-1,alan schechter
f1000-4-144-0,roma siugzdaite
f1000-4-144-1,ruedi stoop
f1000-4-144-2,roma siugzdaite
f1000-4-1442-0,beatrix fahnert
f1000-4-1442-1,joanna verran
f1000-4-1442-2,beatrix fahnert
f1000-4-1443-0,bjrn a. grning
f1000-4-1443-1,rodrigo lopez
f1000-4-1447-0,christian braendle
f1000-4-1447-1,eric haag
f1000-4-1447-2,erik c. andersen
f1000-4-1448-0,hays rye
f1000-4-1448-1,jose barral
f1000-4-1449-0,jan jakobsson 
f1000-4-1449-1,stavros memtsoudis
f1000-4-145-0,luc teyton
f1000-4-145-1,jin-xiong she
f1000-4-1450-0,michael levy
f1000-4-1450-1,nicholas schwab
f1000-4-1450-2,nicholas schwab
f1000-4-1450-3,david b clifford
f1000-4-1453-0,m. julius hossain 
f1000-4-1453-1,karin verspoor 
f1000-4-1453-2,juilee thakar
f1000-4-1453-3,karin verspoor 
f1000-4-1453-4,florencio pazos
f1000-4-1453-5,m. julius hossain 
f1000-4-1453-6,juilee thakar
f1000-4-1457-0,yan-qing li
f1000-4-1457-1,michael b. wallace
f1000-4-1458-0,john wagner
f1000-4-1458-1,richard champlin
f1000-4-1459-0,joshua d. milner
f1000-4-1459-1,alain fischer
f1000-4-146-0,frric simard
f1000-4-146-1,frederic tripet
f1000-4-146-2,beniamino caputo
f1000-4-1460-0,pierluigi brazzola
f1000-4-1460-1,mitchell halperin
f1000-4-1460-2,jeffrey kraut
f1000-4-1461-0,dagmar waltemath
f1000-4-1461-1,vanessa daz-zuccarini
f1000-4-1461-2,dagmar waltemath
f1000-4-1461-3,dagmar waltemath
f1000-4-1462-0,bruce draper
f1000-4-1462-1,prasanth rangan
f1000-4-1462-2,ruth lehmann
f1000-4-1464-0,liz howell
f1000-4-1464-1,giovanni gadda
f1000-4-1465-0,tadamitsu kishimoto
f1000-4-1465-1,stanislas goriely
f1000-4-1465-2,raymond p. donnelly
f1000-4-1466-0,james bibb
f1000-4-1466-1,kurt r. illig
f1000-4-1468-0,jordan mallon
f1000-4-1469-0,neil blumberg
f1000-4-1469-1,jerard seghatchian
f1000-4-1469-2,pearl toy
f1000-4-1469-3,erhard seifried
f1000-4-147-0,jacqueline gottlieb
f1000-4-147-1,jacqueline gottlieb
f1000-4-147-2,bruno averbeck
f1000-4-1472-0,jordi bover
f1000-4-1472-1,reinold g erben
f1000-4-1473-0,carien niessen
f1000-4-1473-1,david sherwood
f1000-4-1473-2,albert reynolds
f1000-4-1474-0,grazyna rydzewska
f1000-4-1474-1,max petrov
f1000-4-1475-0,marrick kukin
f1000-4-1475-1,hector ventura
f1000-4-148-0,mautusi mitra 
f1000-4-148-1,andrew d. chalmers
f1000-4-148-2,lawrence l. leclaire iii
f1000-4-148-3,mautusi mitra 
f1000-4-148-4,andrew d. chalmers
f1000-4-1480-0,brett p. giroir
f1000-4-1480-1,alan cross
f1000-4-1482-0,kevin zorn
f1000-4-1482-1,tevita 'aho
f1000-4-1483-0,carolyn weiniger
f1000-4-1483-1,gamal serour
f1000-4-1483-2,michael paech
f1000-4-1484-0,fernando casares
f1000-4-1484-1,bassem a hassan
f1000-4-1484-2,pelin cayirlioglu volkan
f1000-4-149-0,luis puig
f1000-4-149-1,eugene william st. clair
f1000-4-149-2,wilson liao
f1000-4-149-3,jrg prinz
f1000-4-1490-0,thierry bienvenu
f1000-4-1490-1,zhi-qi xiong
f1000-4-1492-0,sally e. wenzel
f1000-4-1492-1,victria cardona
f1000-4-15-0,andrew d kern
f1000-4-15-1,ben busby 
f1000-4-150-0,george sokos
f1000-4-150-1,hoa l. nguyen
f1000-4-1502-0,mary williams
f1000-4-1502-1,graham scott
f1000-4-1504-0,stuart a. west
f1000-4-1504-1,jeff gore
f1000-4-1507-0,r ford denison
f1000-4-1507-1,joern fischer
f1000-4-151-0,roman leischik
f1000-4-151-1,flavio d'ascenzi
f1000-4-151-2,andreas mssigbrodt
f1000-4-1517-0,judith klein-seetharaman
f1000-4-1517-1,rahul banerjee
f1000-4-1518-0,colyn crane-robinson
f1000-4-1518-1,alexey ruzov 
f1000-4-1519-0,peter siesj
f1000-4-1519-1,terje sundstrm
f1000-4-152-0,thomas kleinsorge
f1000-4-152-1,joseph hr maes
f1000-4-1520-0,vishakh hegde
f1000-4-1520-1,maxime gasse
f1000-4-1521-0,rob patro
f1000-4-1521-1,stephen n floor 
f1000-4-1522-0,lynn fink
f1000-4-1522-1,winston a. hide 
f1000-4-1523-0,manuel corpas 
f1000-4-1523-1,luis boto
f1000-4-1523-2,vas dev
f1000-4-153-0,dorin bogdan borza
f1000-4-153-1,patrick cunningham
f1000-4-153-2,dorin bogdan borza
f1000-4-155-0,binay panda 
f1000-4-155-1,michael i. love 
f1000-4-155-2,varodom charoensawan
f1000-4-155-3,varodom charoensawan
f1000-4-156-0,kenneth f. haynes
f1000-4-156-1,wynand van der goes van naters
f1000-4-156-2,jeffery k. tomberlin
f1000-4-156-3,joseph c. dickens
f1000-4-157-0,surajit sarkar
f1000-4-157-1,surajit sarkar
f1000-4-157-2,takashi adachi-yamada
f1000-4-158-0,shama virani
f1000-4-158-1,weerasak putthasri
f1000-4-158-2,supasit pannarunothai
f1000-4-159-0,daniel garros
f1000-4-159-1,daniel garros
f1000-4-159-2,francisco eulgio martinez
f1000-4-16-0,anthony r. absalom
f1000-4-16-1,kevin thornton
f1000-4-160-0,chandan kumar
f1000-4-160-1,bob t. li
f1000-4-160-2,chandan kumar
f1000-4-161-0,philip c noble
f1000-4-161-1,loren latta
f1000-4-162-0,gian domenico sebastiani
f1000-4-162-1,murray b. urowitz
f1000-4-162-2,gian domenico sebastiani
f1000-4-162-3,murray b. urowitz
f1000-4-162-4,fabiola atzeni
f1000-4-163-0,christopher reilly
f1000-4-163-1,trine jrgensen
f1000-4-164-0,rene vandevoorde
f1000-4-164-1,coral hanevold
f1000-4-164-2,joseph flynn
f1000-4-164-3,joyce popoola
f1000-4-165-0,paul licciardi
f1000-4-165-1,bartholomew n. ondigo
f1000-4-167-0,sayan mukherjee 
f1000-4-167-1,hilary ann coller
f1000-4-168-0,gerhard mller
f1000-4-168-1,veer shanmugasundaram
f1000-4-168-2,alexandre varnek
f1000-4-169-0,charles r. elder
f1000-4-169-1,jonathan l. wardle
f1000-4-17-0,martin kennedy
f1000-4-17-1,thomas hoenen
f1000-4-17-2,martin kennedy
f1000-4-170-0,anna rohlin
f1000-4-170-1,nicholas davidson
f1000-4-171-0,michael paech
f1000-4-171-1,bernard wittels
f1000-4-171-2,bernard wittels
f1000-4-171-3,michael paech
f1000-4-172-0,gavin i. welsh 
f1000-4-172-1,johannes schlondorff
f1000-4-172-2,taiji matsusaka
f1000-4-173-0,zoltan nadasdy
f1000-4-173-1,zoltan nadasdy
f1000-4-173-2,xiao shifu
f1000-4-174-0,karsten mller
f1000-4-174-1,cristiano micheli
f1000-4-175-0,ronald kiguba
f1000-4-175-1,carla ferrndiz-pulido
f1000-4-175-2,neil shear
f1000-4-176-0,ullas kolthur-seetharam
f1000-4-176-1,george shinomol
f1000-4-176-2,linda bergersen
f1000-4-177-0,melanie link-perez
f1000-4-177-1,kay yeoman
f1000-4-178-0,stephen benkovic
f1000-4-178-1,stephen g. sligar
f1000-4-178-2,paul r. ortiz de montellano
f1000-4-179-0,gerald domingue
f1000-4-179-1,vanya gant
f1000-4-179-2,michael r barer
f1000-4-18-0,joanne knight
f1000-4-18-1,colin a. semple 
f1000-4-180-0,yoav gilad
f1000-4-180-1,david j. lipman
f1000-4-181-0,simeon warner
f1000-4-181-1,keith g. jeffery
f1000-4-181-2,mikael k. elbaek
f1000-4-182-0,lucas giner
f1000-4-182-1,mayumi okuda
f1000-4-182-2,mayumi okuda
f1000-4-182-3,lucas giner
f1000-4-183-0,pasquapina ciarmela
f1000-4-183-1,andrea tinelli
f1000-4-183-2,alicia armstrong
f1000-4-183-3,ayman al-hendy
f1000-4-183-4,donna day baird
f1000-4-188-0,guru dutta satyarthee
f1000-4-188-1,roman bosnjak
f1000-4-188-2,guoyi gao
f1000-4-19-0,mathieu hainselin 
f1000-4-19-1,alan castel
f1000-4-19-2,daniela palombo
f1000-4-192-0,philip young
f1000-4-192-1,john dupuis
f1000-4-193-0,ben johnson
f1000-4-193-1,anne galliot
f1000-4-194-0,christian rver 
f1000-4-194-1,guilherme costa
f1000-4-195-0,antonella de robbio
f1000-4-195-1,sarah l. shreeves
f1000-4-196-0,chiara faggiolani
f1000-4-196-1,alesia zuccala
f1000-4-196-2,geoffrey williams
f1000-4-2-0,andrew g. bauman
f1000-4-2-1,jean kenyon
f1000-4-20-0,surya saha
f1000-4-20-1,keith e. robison
f1000-4-21-0,jigisha patel
f1000-4-21-1,lutz bornmann
f1000-4-21-2,jigisha patel
f1000-4-21-3,lutz bornmann
f1000-4-214-0,james f. amatruda 
f1000-4-214-1,julian a. martinez-agosto 
f1000-4-214-2,james f. amatruda 
f1000-4-214-3,julian a. martinez-agosto 
f1000-4-218-0,bruno miroux
f1000-4-218-1,renaud beauwens
f1000-4-22-0,takashi yonetani
f1000-4-22-1,michael wilson
f1000-4-22-2,michael wilson
f1000-4-22-3,marco nardini
f1000-4-23-0,lars nyberg 
f1000-4-23-1,w.r. wayne martin
f1000-4-23-2,marie vidailhet
f1000-4-231-0,pradeep dudeja
f1000-4-231-1,fernando navarro-garcia
f1000-4-231-2,pradeep dudeja
f1000-4-232-0,gbor balzsi
f1000-4-232-1,joseph j. drabick
f1000-4-235-0,ana pombo
f1000-4-235-1,niall dillon
f1000-4-24-0,fleur bossi
f1000-4-24-1,gregg silverman
f1000-4-24-2,marko radic
f1000-4-25-0,jon gabel
f1000-4-25-1,cynthia cox
f1000-4-257-0,gerardo ferrara
f1000-4-257-1,joyce lee
f1000-4-257-2,marco ardig
f1000-4-259-0,shaillay dogra
f1000-4-259-1,peter n. robinson
f1000-4-26-0,karel mejkal
f1000-4-26-1,goutam brahmachari
f1000-4-26-2,carsten grndemann
f1000-4-261-0,anthony magee
f1000-4-261-1,luke chamberlain
f1000-4-261-2,howard c. hang
f1000-4-264-0,jan traas
f1000-4-264-1,david salt
f1000-4-264-2,christophe maurel
f1000-4-269-0,roger reeves
f1000-4-269-1,jon pierce-shimomura
f1000-4-27-0,dennis steindler
f1000-4-273-0,pakorn t. kanchanawong
f1000-4-273-1,keith burridge
f1000-4-273-2,pierre-franois lenne
f1000-4-28-0,matthew mccall 
f1000-4-28-1,subha madhavan
f1000-4-289-0,pankaj garg
f1000-4-289-1,jarosaw kasprzak
f1000-4-29-0,pemra doruker
f1000-4-29-1,ugo bastolla
f1000-4-29-2,xiayang qiu
f1000-4-297-0,michihiro mutoh
f1000-4-297-1,stephen waxman
f1000-4-298-0,paul terry
f1000-4-298-1,young dae kwon
f1000-4-3-0,marco safadi
f1000-4-3-1,paola marchisio
f1000-4-30-0,robin a. weiss
f1000-4-30-1,sean ekins 
f1000-4-31-0,sergey nuzhdin
f1000-4-31-1,ian dworkin
f1000-4-31-2,john e. pool
f1000-4-32-0,patrick ruch
f1000-4-32-1,gary d. bader 
f1000-4-32-2,winston a. hide 
f1000-4-33-0,steffi suhr
f1000-4-33-1,karin verspoor 
f1000-4-33-2,bryn williams-jones
f1000-4-33-3,karin verspoor 
f1000-4-33-4,steffi suhr
f1000-4-334-0,daniel rek
f1000-4-334-1,anil kumar
f1000-4-334-2,akhil c. banerjea
f1000-4-337-0,virendra deo sinha
f1000-4-337-1,george wittenberg
f1000-4-337-2,george wittenberg
f1000-4-337-3,virendra deo sinha
f1000-4-337-4,rajiv r. ratan
f1000-4-34-0,patrick butaye
f1000-4-34-1,bruno botta
f1000-4-34-2,patrick butaye
f1000-4-36-0,david martin
f1000-4-36-1,oliver bonham-carter
f1000-4-362-0,joel d. greenspan
f1000-4-362-1,apkar vania apkarian
f1000-4-362-2,david borsook
f1000-4-367-0,paula c. ramos
f1000-4-367-1,philip coffino
f1000-4-367-2,petra wendler
f1000-4-37-0,steven hollenberg
f1000-4-37-1,arvind bhimaraj
f1000-4-38-0,paul s anderson
f1000-4-38-1,john a. lowe iii 
f1000-4-396-0,bryan d. devan
f1000-4-396-1,eric m. stouffer
f1000-4-4-0,james mcnew
f1000-4-4-1,m joseph costello
f1000-4-4-2,jesse c. hay
f1000-4-4-3,jesse c. hay
f1000-4-4-4,m joseph costello
f1000-4-4-5,james mcnew
f1000-4-40-0,jos manuel arcos
f1000-4-40-1,jos manuel arcos
f1000-4-40-2,nigel yoccoz
f1000-4-40-3,l. ignacio vilchis
f1000-4-407-0,swantje matthies
f1000-4-407-1,joseph o'neill
f1000-4-407-2,swantje matthies
f1000-4-407-3,marc auriacombe
f1000-4-409-0,cornelia lawson
f1000-4-409-1,sarah r. davies
f1000-4-409-2,cornelia lawson
f1000-4-409-3,sarah r. davies
f1000-4-409-4,paige brown jarreau
f1000-4-409-5,laura fogg rogers
f1000-4-41-0,stefanie haustein
f1000-4-41-1,rodrigo costas
f1000-4-41-2,stefanie haustein
f1000-4-41-3,rodrigo costas
f1000-4-419-0,rita ferreira
f1000-4-419-1,frederico pereira
f1000-4-42-0,douglas h. thamm
f1000-4-42-1,michael s. kent
f1000-4-42-2,michael s. kent
f1000-4-42-3,douglas h. thamm
f1000-4-43-0,patrick charles
f1000-4-43-1,corinna schmitt
f1000-4-432-0,leonidas papachristopoulos
f1000-4-432-1,paolo missier
f1000-4-432-2,kei kurakawa
f1000-4-432-3,leonidas papachristopoulos
f1000-4-432-4,kei kurakawa
f1000-4-432-5,paolo missier
f1000-4-438-0,nirajkumar singh
f1000-4-438-1,sukrat sinha
f1000-4-44-0,baruch rinkevich
f1000-4-44-1,baruch rinkevich
f1000-4-44-2,andrew h. baird 
f1000-4-445-0,juan m jimnez-andrade
f1000-4-445-1,svetlana komarova
f1000-4-445-2,svetlana komarova
f1000-4-445-3,juan m jimnez-andrade
f1000-4-446-0,regina flster-holst
f1000-4-446-1,mohamed badawy abdel-naser
f1000-4-45-0,antonio cupane
f1000-4-45-1,suman kundu
f1000-4-45-2,marten h. vos
f1000-4-456-0,brge sivertsen
f1000-4-456-1,jerome siegel
f1000-4-457-0,thilo hinterberger
f1000-4-457-1,thilo hinterberger
f1000-4-457-2,thilo hinterberger
f1000-4-457-3,thilo hinterberger
f1000-4-457-4,aliodor manolea
f1000-4-457-5,thilo hinterberger
f1000-4-46-0,vivien rolfe
f1000-4-46-1,catherine j. hack
f1000-4-460-0,jun yan
f1000-4-460-1,liv eidsmo
f1000-4-466-0,matthew wall
f1000-4-466-1,anders eklund
f1000-4-466-2,jens foell 
f1000-4-467-0,rully hanafi dahlan
f1000-4-467-1,mehmet zileli
f1000-4-467-2,amit thapa
f1000-4-469-0,yukio hayashi
f1000-4-469-1,andreas moraitis
f1000-4-47-0,emidio capriotti
f1000-4-47-1,jason e. mcdermott
f1000-4-474-0,inna lermontova
f1000-4-474-1,nikolina sekulic
f1000-4-474-2,tatsuo fukagawa
f1000-4-474-3,tatsuo fukagawa
f1000-4-476-0,ankush sharma 
f1000-4-476-1,shaillay dogra
f1000-4-477-0,srikrishna subramanian
